2021-06-29 23:06:218 INFO  BasePage :32 - Launching Chrome Browser 
2021-06-29 23:06:653 INFO  HomePage :23 - Hovering on Computer Menu --> [[ChromeDriver: chrome on WINDOWS (8cf69ddf354473d76b135ae38aa2e0de)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/a[1]]
2021-06-29 23:06:41 INFO  HomePage :30 - Click on Desktop Menu --> [[ChromeDriver: chrome on WINDOWS (8cf69ddf354473d76b135ae38aa2e0de)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/ul[1]/li[1]/a[1]]
2021-06-29 23:06:71 INFO  DesktopPage :21 - Getting text from : [[ChromeDriver: chrome on WINDOWS (8cf69ddf354473d76b135ae38aa2e0de)] -> xpath: //div[@class='page-title']//h1]
2021-06-29 23:06:997 INFO  BasePage :32 - Launching Chrome Browser 
2021-06-29 23:06:364 INFO  BasePage :32 - Launching Chrome Browser 
2021-06-29 23:06:442 INFO  HomePage :23 - Hovering on Computer Menu --> [[ChromeDriver: chrome on WINDOWS (66cf68a75667ff8e5d683012897afbf7)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/a[1]]
2021-06-29 23:06:776 INFO  HomePage :30 - Click on Desktop Menu --> [[ChromeDriver: chrome on WINDOWS (66cf68a75667ff8e5d683012897afbf7)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/ul[1]/li[1]/a[1]]
2021-06-29 23:06:814 INFO  DesktopPage :21 - Getting text from : [[ChromeDriver: chrome on WINDOWS (66cf68a75667ff8e5d683012897afbf7)] -> xpath: //div[@class='page-title']//h1]
2021-06-30 10:06:829 INFO  BasePage :32 - Launching Chrome Browser 
2021-06-30 10:06:481 INFO  BasePage :32 - Launching Chrome Browser 
2021-06-30 10:06:654 INFO  BasePage :32 - Launching Chrome Browser 
2021-06-30 10:06:209 INFO  BasePage :32 - Launching Chrome Browser 
2021-06-30 10:06:302 INFO  BasePage :32 - Launching Chrome Browser 
2021-06-30 10:06:579 INFO  BasePage :32 - Launching Chrome Browser 
2021-06-30 10:06:179 INFO  BasePage :32 - Launching Chrome Browser 
2021-06-30 10:06:286 INFO  BasePage :32 - Launching Chrome Browser 
2021-06-30 10:06:354 INFO  BasePage :32 - Launching Chrome Browser 
2021-06-30 10:06:710 INFO  HomePage :23 - Hovering on Computer Menu --> [[ChromeDriver: chrome on WINDOWS (96feb637fb396ca28677c09a5dcf52c1)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/a[1]]
2021-06-30 10:06:709 INFO  HomePage :30 - Click on Desktop Menu --> [[ChromeDriver: chrome on WINDOWS (96feb637fb396ca28677c09a5dcf52c1)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/ul[1]/li[1]/a[1]]
2021-06-30 10:06:756 INFO  DesktopPage :21 - Getting text from : [[ChromeDriver: chrome on WINDOWS (96feb637fb396ca28677c09a5dcf52c1)] -> xpath: //div[@class='page-title']//h1]
2021-06-30 10:06:378 INFO  BasePage :32 - Launching Chrome Browser 
2021-06-30 10:06:700 INFO  HomePage :23 - Hovering on Computer Menu --> [[ChromeDriver: chrome on WINDOWS (840cc63e5a716615cd9c10b967c370c3)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/a[1]]
2021-06-30 10:06:175 INFO  HomePage :30 - Click on Desktop Menu --> [[ChromeDriver: chrome on WINDOWS (840cc63e5a716615cd9c10b967c370c3)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/ul[1]/li[1]/a[1]]
2021-06-30 10:06:211 INFO  DesktopPage :21 - Getting text from : [[ChromeDriver: chrome on WINDOWS (840cc63e5a716615cd9c10b967c370c3)] -> xpath: //div[@class='page-title']//h1]
2021-06-30 10:06:969 INFO  BasePage :32 - Launching Chrome Browser 
2021-06-30 10:06:758 INFO  HomePage :23 - Hovering on Computer Menu --> [[ChromeDriver: chrome on WINDOWS (61585b896fe7771cb8f196e75dce45fe)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/a[1]]
2021-06-30 10:06:162 INFO  HomePage :30 - Click on Desktop Menu --> [[ChromeDriver: chrome on WINDOWS (61585b896fe7771cb8f196e75dce45fe)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/ul[1]/li[1]/a[1]]
2021-06-30 10:06:194 INFO  DesktopPage :21 - Getting text from : [[ChromeDriver: chrome on WINDOWS (61585b896fe7771cb8f196e75dce45fe)] -> xpath: //div[@class='page-title']//h1]
2021-06-30 10:06:114 INFO  BasePage :32 - Launching Chrome Browser 
2021-06-30 10:06:34 INFO  BasePage :32 - Launching Chrome Browser 
2021-06-30 10:06:112 INFO  HomePage :23 - Hovering on Computer Menu --> [[ChromeDriver: chrome on WINDOWS (e3ae4e85e3a4cfb76c9e35c537803d23)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/a[1]]
2021-06-30 10:06:678 INFO  HomePage :30 - Click on Desktop Menu --> [[ChromeDriver: chrome on WINDOWS (e3ae4e85e3a4cfb76c9e35c537803d23)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/ul[1]/li[1]/a[1]]
2021-06-30 10:06:713 INFO  DesktopPage :21 - Getting text from : [[ChromeDriver: chrome on WINDOWS (e3ae4e85e3a4cfb76c9e35c537803d23)] -> xpath: //div[@class='page-title']//h1]
2021-06-30 10:06:699 INFO  BasePage :32 - Launching Chrome Browser 
2021-06-30 10:06:321 INFO  HomePage :23 - Hovering on Computer Menu --> [[ChromeDriver: chrome on WINDOWS (6e132c1010fa55ea6e6c08272ee58a4c)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/a[1]]
2021-06-30 10:06:973 INFO  HomePage :30 - Click on Desktop Menu --> [[ChromeDriver: chrome on WINDOWS (6e132c1010fa55ea6e6c08272ee58a4c)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/ul[1]/li[1]/a[1]]
2021-06-30 10:06:09 INFO  DesktopPage :21 - Getting text from : [[ChromeDriver: chrome on WINDOWS (6e132c1010fa55ea6e6c08272ee58a4c)] -> xpath: //div[@class='page-title']//h1]
2021-06-30 10:06:160 INFO  DesktopPage :28 - Click on Add to Cart Menu --> [[ChromeDriver: chrome on WINDOWS (6e132c1010fa55ea6e6c08272ee58a4c)] -> xpath: //body/div[6]/div[3]/div[1]/div[3]/div[1]/div[2]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[3]/div[2]/button[1]]
2021-06-30 10:06:81 INFO  BasePage :32 - Launching Chrome Browser 
2021-06-30 10:06:852 INFO  HomePage :23 - Hovering on Computer Menu --> [[ChromeDriver: chrome on WINDOWS (fe9200b5ea15f253f7236d8923a2107d)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/a[1]]
2021-06-30 10:06:419 INFO  HomePage :30 - Click on Desktop Menu --> [[ChromeDriver: chrome on WINDOWS (fe9200b5ea15f253f7236d8923a2107d)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/ul[1]/li[1]/a[1]]
2021-06-30 10:06:452 INFO  DesktopPage :21 - Getting text from : [[ChromeDriver: chrome on WINDOWS (fe9200b5ea15f253f7236d8923a2107d)] -> xpath: //div[@class='page-title']//h1]
2021-06-30 10:06:955 INFO  BasePage :32 - Launching Chrome Browser 
2021-06-30 10:06:689 INFO  BasePage :32 - Launching Chrome Browser 
2021-06-30 10:06:974 INFO  HomePage :23 - Hovering on Computer Menu --> [[ChromeDriver: chrome on WINDOWS (efbcef3d2f267dc38795113a4d26e047)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/a[1]]
2021-06-30 10:06:395 INFO  HomePage :30 - Click on Desktop Menu --> [[ChromeDriver: chrome on WINDOWS (efbcef3d2f267dc38795113a4d26e047)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/ul[1]/li[1]/a[1]]
2021-06-30 10:06:423 INFO  DesktopPage :21 - Getting text from : [[ChromeDriver: chrome on WINDOWS (efbcef3d2f267dc38795113a4d26e047)] -> xpath: //div[@class='page-title']//h1]
2021-06-30 10:06:447 INFO  BasePage :32 - Launching Chrome Browser 
2021-06-30 10:06:963 INFO  HomePage :23 - Hovering on Computer Menu --> [[ChromeDriver: chrome on WINDOWS (7594eea57f6dbff0618eb7b8331ec2bb)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/a[1]]
2021-06-30 10:06:289 INFO  HomePage :30 - Click on Desktop Menu --> [[ChromeDriver: chrome on WINDOWS (7594eea57f6dbff0618eb7b8331ec2bb)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/ul[1]/li[1]/a[1]]
2021-06-30 10:06:323 INFO  DesktopPage :21 - Getting text from : [[ChromeDriver: chrome on WINDOWS (7594eea57f6dbff0618eb7b8331ec2bb)] -> xpath: //div[@class='page-title']//h1]
2021-06-30 10:06:504 INFO  DesktopPage :28 - Click on Add to Cart Menu --> [[ChromeDriver: chrome on WINDOWS (7594eea57f6dbff0618eb7b8331ec2bb)] -> xpath: //body/div[6]/div[3]/div[1]/div[3]/div[1]/div[2]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[3]/div[2]/button[1]]
2021-06-30 10:06:536 INFO  DesktopPage :21 - Getting text from : [[ChromeDriver: chrome on WINDOWS (7594eea57f6dbff0618eb7b8331ec2bb)] -> xpath: //div[@class='page-title']//h1]
2021-06-30 10:06:96 INFO  BasePage :32 - Launching Chrome Browser 
2021-06-30 10:06:438 INFO  HomePage :23 - Hovering on Computer Menu --> [[ChromeDriver: chrome on WINDOWS (d5d9641844d2cf4ff570bd0453c52c57)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/a[1]]
2021-06-30 10:06:796 INFO  HomePage :30 - Click on Desktop Menu --> [[ChromeDriver: chrome on WINDOWS (d5d9641844d2cf4ff570bd0453c52c57)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/ul[1]/li[1]/a[1]]
2021-06-30 10:06:832 INFO  DesktopPage :21 - Getting text from : [[ChromeDriver: chrome on WINDOWS (d5d9641844d2cf4ff570bd0453c52c57)] -> xpath: //div[@class='page-title']//h1]
2021-06-30 10:06:158 INFO  BasePage :32 - Launching Chrome Browser 
2021-06-30 10:06:500 INFO  BasePage :32 - Launching Chrome Browser 
2021-06-30 10:06:716 INFO  HomePage :23 - Hovering on Computer Menu --> [[ChromeDriver: chrome on WINDOWS (342d0e5dc3f628eee7a26353b1b49339)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/a[1]]
2021-06-30 10:06:576 INFO  HomePage :30 - Click on Desktop Menu --> [[ChromeDriver: chrome on WINDOWS (342d0e5dc3f628eee7a26353b1b49339)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/ul[1]/li[1]/a[1]]
2021-06-30 10:06:622 INFO  DesktopPage :21 - Getting text from : [[ChromeDriver: chrome on WINDOWS (342d0e5dc3f628eee7a26353b1b49339)] -> xpath: //div[@class='page-title']//h1]
2021-06-30 10:06:541 INFO  BasePage :32 - Launching Chrome Browser 
2021-06-30 10:06:466 INFO  HomePage :23 - Hovering on Computer Menu --> [[ChromeDriver: chrome on WINDOWS (5d4ad8bc952f78deef45f9b1e4d03b58)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/a[1]]
2021-06-30 10:06:47 INFO  HomePage :30 - Click on Desktop Menu --> [[ChromeDriver: chrome on WINDOWS (5d4ad8bc952f78deef45f9b1e4d03b58)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/ul[1]/li[1]/a[1]]
2021-06-30 10:06:79 INFO  DesktopPage :21 - Getting text from : [[ChromeDriver: chrome on WINDOWS (5d4ad8bc952f78deef45f9b1e4d03b58)] -> xpath: //div[@class='page-title']//h1]
2021-06-30 10:06:224 INFO  DesktopPage :28 - Click on Add to Cart Menu --> [[ChromeDriver: chrome on WINDOWS (5d4ad8bc952f78deef45f9b1e4d03b58)] -> xpath: //body/div[6]/div[3]/div[1]/div[3]/div[1]/div[2]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[3]/div[2]/button[1]]
2021-06-30 10:06:250 INFO  DesktopPage :21 - Getting text from : [[ChromeDriver: chrome on WINDOWS (5d4ad8bc952f78deef45f9b1e4d03b58)] -> xpath: //div[@class='page-title']//h1]
2021-06-30 10:06:739 INFO  BasePage :32 - Launching Chrome Browser 
2021-06-30 10:06:140 INFO  HomePage :23 - Hovering on Computer Menu --> [[ChromeDriver: chrome on WINDOWS (8d93c95bbe131329896540c615876c83)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/a[1]]
2021-06-30 10:06:56 INFO  HomePage :30 - Click on Desktop Menu --> [[ChromeDriver: chrome on WINDOWS (8d93c95bbe131329896540c615876c83)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/ul[1]/li[1]/a[1]]
2021-06-30 10:06:88 INFO  DesktopPage :21 - Getting text from : [[ChromeDriver: chrome on WINDOWS (8d93c95bbe131329896540c615876c83)] -> xpath: //div[@class='page-title']//h1]
2021-06-30 10:06:951 INFO  BasePage :32 - Launching Chrome Browser 
2021-06-30 10:06:69 INFO  HomePage :23 - Hovering on Computer Menu --> [[ChromeDriver: chrome on WINDOWS (0832d4e93bbc21cec751ead5d1236cc9)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/a[1]]
2021-06-30 10:06:868 INFO  HomePage :30 - Click on Desktop Menu --> [[ChromeDriver: chrome on WINDOWS (0832d4e93bbc21cec751ead5d1236cc9)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/ul[1]/li[1]/a[1]]
